instance,beta,BKS,SA_avg_RPD,SA_std_RPD,SA_n,GRASP_avg_RPD,GRASP_std_RPD,GRASP_n,GA_avg_RPD,GA_std_RPD,GA_n,SSM_SA_RPD,MILP_RPD
H_O1_#5_2p,3,213.0,2.5082354161803235,0.7640735338681987,181,8.144235785080856,2.79234591156067,144,2.0892018779342725,0.5982439152085917,100,0.0,
H_O1_#5_3p,3,146.0,4.609097101339589,1.9901911780279227,181,17.70357686453577,5.206411755494177,144,3.36986301369863,1.6075747916580658,100,0.0,0.0
H_O1_#5_4p,3,111.0,9.213080483798715,2.42083088344286,181,26.8018018018018,7.5069194838911075,144,9.17117117117117,1.5961436713988786,100,2.7027027027027026,0.0
H_O1_#5_5p,3,92.0,13.523901032908961,3.6544313136338906,181,33.77113526570049,8.860042321801389,144,14.184782608695652,2.58228007029826,100,11.956521739130435,0.0
H_O2_#5_2p,3,2183.0,0.29433872490338453,0.11499079686516335,181,3.1814653636687535,2.774976400433473,144,0.22629409070087037,0.08923075813780793,100,0.0,
H_O2_#5_3p,3,1464.0,0.8389185762159225,0.32839929051083155,181,9.414370825743777,6.829647273105806,144,0.7862021857923497,0.2392917235006882,100,0.0,
H_O2_#5_4p,3,1109.0,1.5010287502055009,1.0506533146342527,181,14.816902114016633,9.050168397651364,144,1.422903516681695,0.5736793247554415,100,0.9017132551848512,
H_O2_#5_5p,3,901.0,2.022307932867716,1.0052809433926433,181,20.20440251572327,12.064487447045714,144,2.665926748057714,1.0207586121386567,100,5.216426193118757,
H_O3_#5_2p,3,643.0,0.7535464801560366,0.31097037975708125,181,4.510108864696734,2.4211559120084587,144,0.7325038880248834,0.25037519073818426,100,0.0,
H_O3_#5_3p,3,435.0,2.3966469803772146,0.7106723225776049,181,9.778097062579821,4.3699657704164165,144,2.1057471264367815,0.5080008469700149,100,0.0,
H_O3_#5_4p,3,332.0,3.233375490913932,1.3706328377701291,181,16.421937751004016,7.052010918054573,144,2.996987951807229,0.9085450245262378,100,0.9036144578313252,
H_O3_#5_5p,3,269.0,6.525087802172975,2.297417717126103,181,23.513011152416354,8.02401614209433,144,6.394052044609665,1.1979168672351872,100,4.089219330855019,0.0
H_O1_#1_2p,6,233.0,0.6875711658053779,1.2540896075603678,196,6.1516452074391985,3.3205723141771957,144,0.0,0.0,100,0.0,0.0
H_O1_#1_3p,6,164.0,3.652314584370333,3.7159297462539627,196,15.337059620596206,8.590119730304464,144,0.0,0.0,100,0.0,0.0
H_O1_#1_4p,6,137.0,0.022344704305079698,0.31282586027111575,196,16.367599351175993,10.360044823109455,144,0.0,0.0,100,0.0,0.0
H_O1_#1_5p,6,119.0,5.042016806722689,0.0,196,15.78548085901027,12.503030119576671,144,5.042016806722689,0.0,100,,0.0
H_O2_#1_2p,6,2212.0,0.7357825589548659,0.7016677760578897,196,3.8185026120152705,4.003122016042023,144,0.0,0.0,100,0.0,0.0
H_O2_#1_3p,6,1503.0,0.7050524800738658,0.9808207122623419,196,9.636745028461595,9.913400660746134,144,0.0,0.0,100,0.0,0.0
H_O2_#1_4p,6,1288.0,0.0,0.0,196,5.790092305037957,10.964180983864571,144,0.0,0.0,100,0.0,0.0
H_O2_#1_5p,6,1288.0,0.0,0.0,196,0.8211482056590751,3.7488189000038363,144,0.0,0.0,100,,0.0
H_O3_#1_2p,6,664.0,0.7330341775264322,0.8042175197769257,196,5.348477242302543,3.00239554670431,144,0.018072289156626505,0.12714333807496056,100,0.0,0.0
H_O3_#1_3p,6,470.0,0.7056013894919669,1.1491571745073665,196,9.128250591016547,5.335539065662801,144,0.0,0.0,100,0.425531914893617,0.0
H_O3_#1_4p,6,362.0,3.2754538279400154,2.5502903848155545,196,13.413136893799878,7.415099265631113,144,1.6574585635359116,0.0,100,4.972375690607735,0.0
H_O3_#1_5p,6,332.0,2.6831817064175065,1.9639524258608723,196,12.073293172690763,7.037829943333361,144,1.2048192771084338,0.0,100,,0.0
H_O1_#2_2p,6,233.0,1.8108960322326355,1.4492783933306121,196,8.193252265140679,2.6088573325318962,144,0.11158798283261802,0.45083469151022487,100,0.0,0.0
H_O1_#2_3p,6,164.0,2.778123444499751,3.4659501320593273,196,18.678014905149052,7.23910450978473,144,0.2926829268292683,0.9975363085766734,100,0.0,0.0
H_O1_#2_4p,6,137.0,1.4337851929092804,1.9674728036194993,196,19.86516626115166,8.402717471597411,144,0.39416058394160586,0.9475713606011262,100,0.0,0.0
H_O1_#2_5p,6,119.0,5.157777396672955,1.0305697961499494,196,22.899159663865547,10.256646876507624,144,5.042016806722689,0.0,100,,0.0
H_O2_#2_2p,6,2207.0,0.2559111546748287,0.21174801767127452,196,4.372451291345718,4.194832794299245,144,0.01993656547349343,0.06287631546071488,100,0.0,0.0
H_O2_#2_3p,6,1492.0,0.6049269573781255,0.4988655285386697,196,10.491603366100685,8.215504841523188,144,0.3505361930294906,0.16358098756019193,100,0.0,0.0
H_O2_#2_4p,6,1144.0,1.537301983730555,1.3361224648403556,196,15.416788073038074,9.742894768425908,144,0.8653846153846153,0.4889078167742308,100,5.681818181818182,0.0
H_O2_#2_5p,6,1012.0,0.7315277889812051,1.4256312408432972,196,12.506862099253404,10.676617013713894,144,0.5691699604743082,0.1167666317590508,100,,0.0
H_O3_#2_2p,6,664.0,0.7829788541922794,0.6042641938893926,196,6.1715612449799195,3.0759538778628053,144,0.4442771084337349,0.28748652490792215,100,0.0,0.0
H_O3_#2_3p,6,456.0,3.3129699248120295,1.5374756505790976,196,13.227948343079921,5.519087095257969,144,2.0964912280701755,0.6503346113224733,100,0.0,0.0
H_O3_#2_4p,6,350.0,3.991253644314869,3.087953083272501,196,19.82142857142857,6.984651566087117,144,3.0057142857142853,1.3428724938485805,100,1.7142857142857144,0.0
H_O3_#2_5p,6,304.0,7.408029001074113,4.510478599773262,196,20.84703947368421,7.777301308034609,144,1.713815789473684,1.434454221135177,100,8.552631578947368,0.0
H_O1_#3_2p,6,233.0,3.2648681790312692,1.4039834369725568,196,11.09620886981402,3.3422130438979716,144,2.3004291845493565,1.0051766511746962,100,0.0,0.0
H_O1_#3_3p,6,164.0,5.145594823295172,3.598174470464541,196,20.164295392953928,5.934916271065476,144,2.8963414634146343,1.8776451926505315,100,0.0,0.0
H_O1_#3_4p,6,132.0,7.475262832405689,2.8801938150755633,196,29.487584175084173,9.207628136332357,144,6.424242424242424,1.7311589359079858,100,3.787878787878788,0.0
H_O1_#3_5p,6,119.0,6.311095866918196,2.5820236746520386,196,27.340102707749768,9.688891558935339,144,6.252100840336134,2.164208551214762,100,0.0,0.0
H_O2_#3_2p,6,2207.0,0.3992398953237843,0.17665282303657381,196,4.062515732769471,3.6510664983166965,144,0.2460353420933394,0.07841510746004761,100,0.0,0.0
H_O2_#3_3p,6,1488.0,1.2528801843317972,0.4404252108882016,196,10.676616636798089,7.888523504895616,144,0.8326612903225806,0.20215411049429804,100,0.33602150537634407,0.0
H_O2_#3_4p,6,1131.0,3.03054908966239,1.5738453137656574,196,17.22357304253856,10.771879906606832,144,2.1202475685234305,0.5576419638751979,100,4.332449160035367,0.0
H_O2_#3_5p,6,1012.0,1.0556989594256674,0.25320538509636054,196,9.487538427755819,10.602443192230183,144,1.110671936758893,0.19618589571999562,100,0.592885375494071,0.0
H_O3_#3_2p,6,664.0,1.3677157610031963,0.4465888887803486,196,6.164240294511378,2.645919639945089,144,1.0406626506024097,0.3906729824411028,100,0.0,
H_O3_#3_3p,6,456.0,3.7918456856426777,1.5109130039805467,196,13.031493664717349,5.210987230480699,144,2.831140350877193,0.5980156051520705,100,0.0,
H_O3_#3_4p,6,350.0,5.542274052478134,2.8431127452360907,196,18.392857142857142,6.802049322238166,144,3.991428571428571,1.1863686714565087,100,1.7142857142857144,0.0
H_O3_#3_5p,6,296.0,9.359487038058468,4.80321323799605,196,24.79588963963964,7.560537835519613,144,5.625,1.4400451045442275,100,3.3783783783783785,0.0
H_O1_#4_2p,6,233.0,3.0787422265043354,1.4835911822177148,196,10.819027181688126,2.7143421061761166,144,1.8969957081545064,1.1218000096453604,100,0.0,0.0
H_O1_#4_3p,6,164.0,4.69449975111996,3.5353558805904157,196,20.62161246612466,5.24217312882664,144,1.9817073170731705,2.091485770622136,100,0.0,0.0
H_O1_#4_4p,6,132.0,7.046227581941867,2.9868878076343743,196,28.019781144781145,8.764073477548296,144,5.590909090909091,1.4517656582094467,100,2.272727272727273,0.0
H_O1_#4_5p,6,115.0,8.682342502218278,3.200112741962768,196,31.008454106280194,7.894477161149522,144,7.878260869565217,1.6388292173742862,100,12.173913043478262,0.0
H_O2_#4_2p,6,2207.0,0.3333549097028934,0.19121975297190572,196,3.5464808941247545,2.8252460670411135,144,0.14272768463978253,0.13636903341049966,100,0.0,0.0
H_O2_#4_3p,6,1488.0,1.0930985297344744,0.8261736411030884,196,10.165583930704898,7.296187759164314,144,0.7728494623655914,0.2204216633657477,100,0.0,
H_O2_#4_4p,6,1129.0,2.405054138573055,1.897235229825385,196,16.1542909162484,9.59842232840953,144,1.846767050487157,0.569503069746115,100,2.4800708591674048,0.0
H_O2_#4_5p,6,926.0,2.9416626261735797,1.9283645433056014,196,24.250059995200385,12.303910213942768,144,2.7516198704103676,0.8737578419148276,100,12.63498920086393,0.0
H_O3_#4_2p,6,664.0,1.1564113597246126,0.6339031760140508,196,6.508324966532798,2.882743705307478,144,1.0150602409638554,0.4268383492516533,100,0.0,
H_O3_#4_3p,6,456.0,3.2279359112065875,1.3166856977884858,196,12.771076998050681,4.880765442160095,144,2.50219298245614,0.6044791669552184,100,0.0,
H_O3_#4_4p,6,350.0,4.7871720116618075,2.8530553103759737,196,18.912698412698415,6.886822032986768,144,4.082857142857143,1.154554138492234,100,0.0,0.0
H_O3_#4_5p,6,292.0,9.286762650265585,4.80368817317547,196,25.796708523592084,8.278023796678639,144,5.986301369863013,1.7620967400970946,100,,0.0
H_O1_#5_2p,6,233.0,4.291845493562231,1.5483622776517243,196,12.5,2.672254879932361,144,3.0686695278969953,1.0177862854931112,100,0.0,0.0
H_O1_#5_3p,6,164.0,7.136635141861623,3.309040488791675,196,23.217310298102984,5.224499851933873,144,5.121951219512194,2.060050071274018,100,0.0,0.0
H_O1_#5_4p,6,126.0,14.119695497246516,3.900696182454888,196,36.22134038800706,8.63534988816092,144,13.253968253968253,2.1829951278989816,100,4.761904761904762,0.0
H_O1_#5_5p,6,107.0,18.095555979401105,4.665357258577672,196,45.39200415368639,9.10321933008307,144,19.065420560747665,2.663340231211271,100,16.822429906542055,0.0
H_O2_#5_2p,6,2207.0,0.5180640448295313,0.20211750725881755,196,3.9036147611136283,3.012670380026072,144,0.3597643860444042,0.12909542214979822,100,0.0,
H_O2_#5_3p,6,1488.0,1.2576804915514592,0.4338819772097369,196,9.765625,7.070366477036257,144,1.032258064516129,0.2076369146733772,100,0.0,
H_O2_#5_4p,6,1135.0,2.2134316281578714,1.7756070048730708,196,17.52508565834557,9.797888460015724,144,1.7101321585903084,0.5171015379535907,100,0.0881057268722467,
H_O2_#5_5p,6,933.0,2.2901765207690796,1.9155245978113682,196,20.37185899726093,12.826533575856146,144,2.1736334405144695,0.7984567750557972,100,7.181136120042872,
H_O3_#5_2p,6,664.0,1.6919719695106958,0.6107703035370955,196,6.446619812583668,2.2773416347110484,144,1.6159638554216866,0.46102071753066576,100,0.4518072289156626,
H_O3_#5_3p,6,456.0,4.07156283566058,1.2604709916010797,196,13.199013157894736,4.856241607472237,144,3.510964912280701,0.7392509495753837,100,0.0,
H_O3_#5_4p,6,354.0,4.982416695491756,2.584381051336886,196,17.90646578782172,7.05705723996506,144,4.067796610169491,1.397224557253508,100,0.0,
H_O3_#5_5p,6,290.0,11.349401829697397,4.867808033769633,196,27.51676245210728,7.149982994547349,144,8.517241379310345,1.558771103298496,100,4.137931034482759,0.0
